StudentID,Gender,Year_02,Kinder_Age,Disability,NCCD-Funded,01.SES,02.SES,NumSibling,SiblingOrder,NumAbvYear9,NumAbvDiploma,NumProf,Burt-01-SOY,Burt-01-EOY,Clay-01-SOY,Clay-01-EOY,TextLevel-01-SOY,TextLevel-01-MOY,TextLevel-01-EOY,TextLevel-02-SOY,TextLevel-02-MOY,TextLevel-02-EOY,WritingVocab-01-SOY,HRSIW-01-SOY,Counting-01,Counting-02,Place Value-01,Place Value-02,Addition and Subtraction-01,Addition and Subtraction-02,Multiplication and Division-01,Multiplication and Division-02,Year3_Writing_At_Risk,Burt-01-ROC,Clay-01-ROC,TextLevel-01-ROC,TextLevel-02-ROC,TextLevel-01-02-ROC,Year3_Writing_At_Risk_N,Counting-02-ROC,Place Value-02-ROC,Addition and Subtraction-02-ROC,Multiplication and Division-02-ROC,Gender_N,Disability_N
SN67242598,Female,2018,5.2,Disability_Cognitive,0,89,89,6,5,1,0,0,2,21,0,3,0,6,11,13,15,23,5,1,0,1,0,1,0,2,0,2,True,950.0,3.0,11.0,76.92,109.09,1,1.0,1.0,2.0,2.0,0,0
SN31301883,Male,2020,5.0,Disability_Cognitive,0,102,102,3,2,2,1,1,17,33,8,15,9,12,16,16,20,25,11,39,1,2,1,3,1,3,2,2,False,94.12,87.5,77.78,56.25,56.25,0,100.0,200.0,200.0,0.0,1,0
SN33074201,Female,2018,5.5,Disability_Non-disable,0,92,92,3,1,2,0,2,25,31,0,0,14,16,17,20,22,26,30,26,2,3,1,1,2,2,2,2,False,24.0,0.0,21.43,30.0,52.94,0,50.0,0.0,0.0,0.0,0,1
SN21208131,Male,2020,5.3,Disability_Cognitive,1,108,108,2,2,2,0,1,21,30,5,11,9,14,21,23,26,29,14,15,0,3,1,2,1,2,0,2,False,42.86,120.0,133.33,26.09,38.1,0,3.0,100.0,100.0,2.0,1,0
SN01880435,Female,2018,4.8,Disability_Cognitive,0,95,95,4,2,1,0,0,11,27,5,11,6,11,18,20,18,21,5,20,0,0,1,1,1,1,0,1,True,145.45,120.0,200.0,5.0,16.67,1,0.0,0.0,0.0,1.0,0,0
SN94638647,Male,2017,5.8,Disability_SocialEmotional,0,97,97,1,1,0,0,0,23,34,0,15,10,8,19,23,22,24,7,24,2,4,1,2,2,2,0,2,False,47.83,15.0,90.0,4.35,26.32,0,100.0,100.0,0.0,2.0,1,4
SN36007524,Female,2016,4.8,Disability_Non-disable,0,101,101,3,2,2,1,2,28,53,0,0,14,21,26,28,32,30,28,35,2,4,1,2,2,2,0,3,False,89.29,0.0,85.71,7.14,15.38,0,100.0,100.0,0.0,3.0,0,1
SN53568156,Male,2021,5.5,Disability_Cognitive,0,117,108,3,2,2,2,1,28,49,12,17,5,17,24,28,28,29,44,43,2,2,1,2,1,2,1,2,False,75.0,41.67,380.0,3.57,20.83,0,0.0,100.0,100.0,100.0,1,0
SN74770882,Male,2017,5.4,Disability_Non-disable,0,97,97,2,1,0,0,0,9,27,1,11,3,12,14,13,14,21,10,29,1,1,1,1,0,2,0,2,True,200.0,1000.0,366.67,61.54,50.0,1,0.0,0.0,2.0,2.0,1,1
SN24097760,Female,2016,5.4,Disability_Cognitive,1,99,103,2,1,2,1,0,25,37,14,0,8,14,18,21,30,31,23,29,1,1,0,1,1,1,0,1,True,48.0,-100.0,125.0,47.62,72.22,1,0.0,1.0,0.0,1.0,0,0
SN52623525,Female,2018,5.4,Disability_Non-disable,0,116,116,2,2,2,0,0,26,33,1,0,11,15,23,27,30,29,25,30,0,3,1,2,1,3,1,2,False,26.92,-100.0,109.09,7.41,26.09,0,3.0,100.0,200.0,100.0,0,1
SN36354789,Female,2017,5.5,Disability_Non-disable,0,94,94,6,3,0,0,0,7,32,8,13,7,12,19,20,22,25,2,21,1,2,1,1,2,2,2,2,False,357.14,62.5,171.43,25.0,31.58,0,100.0,0.0,0.0,0.0,0,1
SN22474338,Male,2020,5.3,Disability_Cognitive,1,99,99,2,1,2,0,0,14,22,3,12,2,10,16,9,13,20,6,13,0,3,0,2,1,3,0,2,True,57.14,300.0,700.0,122.22,25.0,1,3.0,2.0,200.0,2.0,1,0
SN28727074,Male,2017,5.6,Disability_Non-disable,0,95,95,3,3,1,0,1,12,32,6,0,7,12,19,23,20,27,19,32,0,4,1,2,1,3,0,2,False,166.67,-100.0,171.43,17.39,42.11,0,4.0,100.0,200.0,2.0,1,1
SN04758079,Male,2020,5.7,Disability_Non-disable,0,95,95,1,1,1,0,0,29,51,1,17,7,9,25,28,31,29,19,37,2,5,2,2,4,3,2,2,False,75.86,1600.0,257.14,3.57,16.0,0,150.0,0.0,-25.0,0.0,1,1
SN27234630,Female,2021,5.4,Disability_Non-disable,0,96,95,1,1,1,0,0,23,32,0,0,19,18,23,27,27,30,27,34,2,3,1,2,2,2,2,2,True,39.13,0.0,21.05,11.11,30.43,1,50.0,100.0,0.0,0.0,0,1
SN90076507,Female,2017,5.1,Disability_Non-disable,0,100,100,3,1,2,2,1,19,29,0,0,8,17,21,21,22,26,26,29,1,2,1,1,1,2,2,2,False,52.63,0.0,162.5,23.81,23.81,0,100.0,0.0,100.0,0.0,0,1
SN17065907,Male,2017,5.4,Disability_Non-disable,0,94,94,2,1,2,1,0,17,25,11,13,9,15,18,14,19,22,26,21,3,2,1,1,2,1,1,2,True,47.06,18.18,100.0,57.14,22.22,1,-33.33,0.0,-50.0,100.0,1,1
SN69648813,Male,2020,6.1,Disability_Non-disable,0,113,113,3,1,2,1,1,40,59,0,2,28,27,30,31,31,32,58,54,5,5,2,4,4,4,2,3,False,47.5,2.0,7.14,3.23,6.67,0,0.0,100.0,0.0,50.0,1,1
SN31580724,Female,2017,5.8,Disability_Non-disable,0,101,101,2,2,2,2,2,67,97,0,1,27,28,33,30,31,30,57,39,3,3,2,2,2,2,2,2,False,44.78,1.0,22.22,0.0,-9.09,0,0.0,0.0,0.0,0.0,0,1
SN82140091,Female,2018,5.3,Disability_Non-disable,0,100,100,1,1,0,0,0,19,28,0,12,11,11,16,18,21,25,22,36,1,3,1,2,2,2,0,2,True,47.37,12.0,45.45,38.89,56.25,1,200.0,100.0,0.0,2.0,0,1
SN78926692,Male,2020,5.6,Disability_Non-disable,0,109,109,1,1,2,1,0,46,58,0,0,21,22,29,30,31,29,30,53,1,4,1,2,0,2,1,2,False,26.09,0.0,38.1,-3.33,0.0,0,300.0,100.0,2.0,100.0,1,1
SN60700098,Male,2021,5.2,Disability_Non-disable,0,99,94,3,3,2,0,0,12,32,0,0,10,13,22,19,24,25,9,29,2,4,1,2,2,5,2,2,True,166.67,0.0,120.0,31.58,13.64,1,100.0,100.0,150.0,0.0,1,1
SN78952329,Female,2021,5.1,Disability_Non-disable,0,117,108,1,1,2,2,2,25,36,0,0,10,18,22,23,25,30,39,39,2,2,1,2,3,2,2,1,False,44.0,0.0,120.0,30.43,36.36,0,0.0,100.0,-33.33,-50.0,0,1
SN36530672,Male,2018,5.9,Disability_Non-disable,0,120,120,2,1,2,2,2,21,35,0,0,9,15,19,24,26,28,39,39,2,2,2,2,2,2,1,2,False,66.67,0.0,111.11,16.67,47.37,0,0.0,0.0,0.0,100.0,1,1
SN35290978,Male,2016,5.1,Disability_Non-disable,0,97,97,1,1,0,0,0,0,23,6,14,1,4,14,13,13,15,11,21,1,1,0,1,1,1,0,1,True,23.0,133.33,1300.0,15.38,7.14,1,0.0,1.0,0.0,1.0,1,1
SN06067989,Male,2017,4.9,Disability_Non-disable,0,113,113,2,1,2,2,2,22,37,1,0,17,19,24,22,26,29,33,30,3,4,2,2,2,4,2,2,False,68.18,-100.0,41.18,31.82,20.83,0,33.33,0.0,100.0,0.0,1,1
SN26953183,Female,2020,4.9,Disability_Non-disable,0,101,101,3,2,2,2,0,20,26,0,1,13,14,21,23,23,30,26,38,3,3,1,2,1,2,1,1,False,30.0,1.0,61.54,30.43,42.86,0,0.0,100.0,100.0,0.0,0,1
SN62357314,Male,2018,4.8,Disability_Non-disable,0,95,95,2,1,2,2,0,5,27,3,14,3,13,22,19,25,27,3,0,1,3,1,2,0,2,0,2,True,440.0,366.67,633.33,42.11,22.73,1,200.0,100.0,2.0,2.0,1,1
SN17596011,Female,2020,4.8,Disability_Non-disable,0,113,113,3,1,2,0,0,45,62,0,0,21,32,29,36,30,29,80,50,2,3,1,2,1,2,1,2,False,37.78,0.0,38.1,-19.44,0.0,0,50.0,100.0,100.0,100.0,0,1
SN60576817,Male,2018,5.4,Disability_Cognitive,1,95,95,1,1,0,0,0,30,47,1,0,18,20,24,19,21,26,37,26,2,2,1,2,1,2,1,2,True,56.67,-100.0,33.33,36.84,8.33,1,0.0,100.0,100.0,100.0,1,0
SN83969401,Male,2017,5.5,Disability_Cognitive,0,99,99,2,2,2,1,2,21,29,1,15,10,15,19,21,24,26,16,32,4,4,3,3,2,2,2,2,True,38.1,1400.0,90.0,23.81,36.84,1,0.0,0.0,0.0,0.0,1,0
SN83627036,Male,2021,5.1,Disability_Cognitive,0,117,108,2,1,1,1,2,38,48,0,0,15,21,24,27,29,29,41,54,4,4,2,3,2,4,2,2,False,26.32,0.0,60.0,7.41,20.83,0,0.0,50.0,100.0,0.0,1,0
SN14729290,Male,2020,5.3,Disability_Cognitive,1,114,114,2,1,2,2,2,21,46,0,0,13,18,23,25,27,31,25,42,2,3,1,1,2,2,1,2,False,119.05,0.0,76.92,24.0,34.78,0,50.0,0.0,0.0,100.0,1,0
SN29957864,Male,2020,5.8,Disability_Non-disable,0,109,109,2,1,2,0,1,27,34,1,0,16,20,24,26,23,30,37,36,3,3,1,2,1,2,1,2,False,25.93,-100.0,50.0,15.38,25.0,0,0.0,100.0,100.0,100.0,1,1
SN33588015,Male,2020,4.7,Disability_Non-disable,0,103,103,2,2,2,2,2,22,32,0,2,12,13,22,19,22,30,19,39,2,2,1,2,1,4,0,2,True,45.45,2.0,83.33,57.89,36.36,1,0.0,100.0,300.0,2.0,1,1
SN23124086,Female,2020,5.4,Disability_Non-disable,0,95,95,3,3,0,0,0,4,41,4,16,3,9,22,22,25,30,7,29,1,2,1,2,1,2,1,2,False,925.0,300.0,633.33,36.36,36.36,0,100.0,100.0,100.0,100.0,0,1
SN58377248,Female,2017,5.2,Disability_Non-disable,0,97,97,2,1,2,2,2,28,36,1,3,13,13,19,14,20,31,43,38,2,4,1,1,2,3,2,2,False,28.57,200.0,46.15,121.43,63.16,0,100.0,0.0,50.0,0.0,0,1
SN13363780,Male,2017,5.0,Disability_Non-disable,0,120,120,1,1,2,1,1,32,49,0,2,10,18,27,26,24,28,18,36,1,3,1,2,2,2,0,1,False,53.12,2.0,170.0,7.69,3.7,0,200.0,100.0,0.0,1.0,1,1
SN05224135,Female,2018,5.4,Disability_Cognitive,0,95,95,3,3,2,1,0,9,28,3,15,1,17,17,18,17,20,24,10,1,2,1,1,2,1,2,1,True,211.11,400.0,1600.0,11.11,17.65,1,100.0,0.0,-50.0,-50.0,0,0
SN43863590,Male,2017,5.4,Disability_Non-disable,0,96,96,2,2,0,0,0,1,18,2,9,4,9,16,14,18,23,7,18,1,2,0,1,1,3,0,2,True,1700.0,350.0,300.0,64.29,43.75,1,100.0,1.0,200.0,2.0,1,1
SN32762674,Male,2018,5.8,Disability_Non-disable,0,95,95,3,2,2,2,1,10,23,6,13,5,14,22,19,24,24,25,27,1,3,0,1,1,1,0,2,False,130.0,116.67,340.0,26.32,9.09,0,200.0,1.0,0.0,2.0,1,1
SN23247631,Male,2017,5.4,Disability_Non-disable,0,90,90,3,2,2,1,2,17,28,12,15,1,19,18,20,24,28,10,21,1,2,1,1,1,2,1,2,True,64.71,25.0,1700.0,40.0,55.56,1,100.0,0.0,100.0,100.0,1,1
SN31958053,Male,2018,5.6,Disability_Non-disable,0,89,89,4,3,1,1,0,22,44,0,0,12,15,24,22,23,26,13,20,1,1,0,1,1,1,0,2,False,100.0,0.0,100.0,18.18,8.33,0,0.0,1.0,0.0,2.0,1,1
SN07125446,Female,2020,5.4,Disability_Non-disable,0,95,95,2,1,2,0,2,26,35,0,0,9,13,22,23,25,28,25,37,3,4,1,2,1,4,1,3,False,34.62,0.0,144.44,21.74,27.27,0,33.33,100.0,300.0,200.0,0,1
SN71581294,Male,2021,6.0,Disability_Physical,0,117,108,3,3,2,1,2,27,41,0,0,15,15,18,18,25,31,24,36,4,4,2,2,1,2,2,2,False,51.85,0.0,20.0,72.22,72.22,0,0.0,0.0,100.0,0.0,1,2
SN51743856,Female,2021,5.2,Disability_SocialEmotional,0,96,95,3,3,2,2,1,1,22,0,11,1,10,13,13,17,24,4,4,1,2,0,1,0,1,1,2,True,2100.0,11.0,1200.0,84.62,84.62,1,100.0,1.0,1.0,100.0,0,4
SN69110121,Female,2016,5.2,Disability_Non-disable,0,114,114,2,1,2,0,1,29,44,0,1,16,17,26,30,29,31,21,38,2,2,1,2,2,3,0,2,False,51.72,1.0,62.5,3.33,19.23,0,0.0,100.0,50.0,2.0,0,1
SN88413410,Female,2020,4.7,Disability_Non-disable,0,104,104,2,1,2,2,1,52,68,0,1,11,16,20,28,31,28,19,43,2,3,1,2,0,3,0,2,False,30.77,1.0,81.82,0.0,40.0,0,50.0,100.0,3.0,2.0,0,1
SN55597899,Male,2018,5.5,Disability_Cognitive,0,116,116,2,1,0,0,0,19,30,0,14,11,9,20,22,27,30,20,22,0,2,1,2,0,2,1,1,True,57.89,14.0,81.82,36.36,50.0,1,2.0,100.0,2.0,0.0,1,0
SN95894424,Male,2020,5.6,Disability_Non-disable,0,114,114,2,1,2,1,2,36,57,0,0,20,23,30,31,30,30,52,48,5,5,2,2,4,5,2,4,False,58.33,0.0,50.0,-3.23,0.0,0,0.0,0.0,25.0,100.0,1,1
SN46621675,Female,2018,5.2,Disability_Non-disable,0,95,95,1,1,2,2,2,23,28,0,1,15,16,21,22,26,27,32,30,3,3,1,2,2,2,0,2,False,21.74,1.0,40.0,22.73,28.57,0,0.0,100.0,0.0,2.0,0,1
SN76924629,Female,2020,5.7,Disability_Non-disable,0,114,114,1,1,2,0,0,25,31,0,2,13,19,26,28,31,30,23,39,1,2,1,2,1,2,0,2,False,24.0,2.0,100.0,7.14,15.38,0,100.0,100.0,100.0,2.0,0,1
SN27407986,Female,2020,5.1,Disability_Non-disable,0,92,92,3,3,2,2,2,23,32,0,0,12,13,23,19,21,26,21,32,2,4,1,2,1,3,2,2,False,39.13,0.0,91.67,36.84,13.04,0,100.0,100.0,200.0,0.0,0,1
SN12115303,Female,2017,4.9,Disability_Non-disable,0,95,95,3,1,2,2,1,16,29,1,0,6,15,18,19,20,23,19,26,1,3,1,1,1,1,2,1,False,81.25,-100.0,200.0,21.05,27.78,0,200.0,0.0,0.0,-50.0,0,1
SN93874872,Female,2018,4.9,Disability_Non-disable,0,112,112,2,1,2,2,2,20,33,0,0,13,15,21,25,27,31,22,22,0,3,1,1,0,4,1,3,False,65.0,0.0,61.54,24.0,47.62,0,3.0,0.0,4.0,200.0,0,1
SN38748015,Female,2017,5.2,Disability_Non-disable,0,103,103,2,2,2,0,0,7,26,1,7,5,9,17,16,18,25,23,28,0,2,1,2,1,4,2,2,False,271.43,600.0,240.0,56.25,47.06,0,2.0,100.0,300.0,0.0,0,1
SN19795535,Male,2020,5.3,Disability_Non-disable,0,108,108,2,2,2,1,0,19,31,5,13,12,14,24,24,25,26,20,32,2,4,1,2,1,4,1,2,True,63.16,160.0,100.0,8.33,8.33,1,100.0,100.0,300.0,100.0,1,1
SN88203512,Female,2017,5.3,Disability_Non-disable,0,103,103,2,2,2,2,1,22,38,7,0,15,17,21,22,22,28,22,25,1,2,1,2,1,1,1,0,False,72.73,-100.0,40.0,27.27,33.33,0,100.0,100.0,0.0,-100.0,0,1
SN93369418,Male,2020,5.7,Disability_Non-disable,0,109,109,2,1,2,1,1,25,41,0,14,12,16,26,23,31,32,21,37,1,3,1,1,2,2,2,2,False,64.0,14.0,116.67,39.13,23.08,0,200.0,0.0,0.0,0.0,1,1
SN26316396,Female,2018,5.0,Disability_Non-disable,0,95,95,3,3,2,1,2,22,38,0,0,11,17,24,24,29,31,19,38,2,3,1,2,1,2,1,2,False,72.73,0.0,118.18,29.17,29.17,0,50.0,100.0,100.0,100.0,0,1
SN84305463,Female,2018,5.6,Disability_Non-disable,0,102,102,3,3,2,2,2,27,36,0,1,14,18,22,24,27,29,49,34,2,4,1,2,2,3,2,1,False,33.33,1.0,57.14,20.83,31.82,0,100.0,100.0,50.0,-50.0,0,1
SN42649544,Male,2017,5.4,Disability_Cognitive,1,95,95,3,1,2,1,1,19,29,4,15,4,16,21,21,20,26,13,25,2,3,1,2,1,0,0,1,True,52.63,275.0,425.0,23.81,23.81,1,50.0,100.0,-100.0,1.0,1,0
SN79284495,Male,2017,5.0,Disability_Non-disable,0,95,95,2,1,2,0,0,13,26,1,0,14,12,15,16,18,27,10,19,1,2,1,2,1,1,0,2,True,100.0,-100.0,7.14,68.75,80.0,1,100.0,100.0,0.0,2.0,1,1
SN53534325,Female,2020,4.9,Disability_Cognitive,0,109,109,1,1,2,1,1,4,27,6,13,13,12,14,12,13,18,7,14,2,2,1,1,1,1,1,1,True,575.0,116.67,7.69,50.0,28.57,1,0.0,0.0,0.0,0.0,0,0
SN50319246,Female,2020,5.0,Disability_Non-disable,0,94,94,3,3,2,1,1,17,28,0,17,3,7,16,16,19,27,15,39,1,2,2,2,4,3,2,2,False,64.71,17.0,433.33,68.75,68.75,0,100.0,0.0,-25.0,0.0,0,1
SN90421652,Male,2018,5.0,Disability_Cognitive,0,110,110,1,1,1,0,0,22,30,0,0,10,13,19,15,23,27,10,35,2,2,1,2,2,2,0,1,True,36.36,0.0,90.0,80.0,42.11,1,0.0,100.0,0.0,1.0,1,0
SN43180267,Female,2016,5.5,Disability_Non-disable,0,101,101,2,1,2,0,1,26,42,0,0,14,16,24,24,30,28,26,18,2,1,2,2,1,0,2,2,False,61.54,0.0,71.43,16.67,16.67,0,-50.0,0.0,-100.0,0.0,0,1
SN65701012,Male,2020,5.8,Disability_Physical,0,105,105,2,1,2,1,0,28,45,0,3,21,21,24,28,29,31,34,50,2,5,1,2,3,4,2,2,True,60.71,3.0,14.29,10.71,29.17,1,150.0,100.0,33.33,0.0,1,2
SN55435591,Female,2020,5.0,Disability_Non-disable,0,94,94,3,3,2,2,1,32,55,0,1,11,20,25,26,27,30,39,37,2,4,1,3,2,4,2,4,False,71.88,1.0,127.27,15.38,20.0,0,100.0,200.0,100.0,100.0,0,1
SN60946763,Male,2021,5.3,Disability_Non-disable,0,95,93,1,1,0,0,0,41,54,0,0,20,23,26,30,29,32,18,49,1,4,1,2,3,3,0,2,True,31.71,0.0,30.0,6.67,23.08,1,300.0,100.0,0.0,2.0,1,1
SN68818376,Male,2016,5.3,Disability_Non-disable,0,114,114,3,3,2,0,0,12,32,3,15,7,9,22,21,23,31,13,11,3,4,2,3,3,4,4,2,False,166.67,400.0,214.29,47.62,40.91,0,33.33,50.0,33.33,-50.0,1,1
SN00331981,Female,2018,5.7,Disability_Non-disable,0,105,105,1,1,0,0,0,6,23,3,11,0,5,11,10,13,15,10,13,0,2,0,1,1,1,1,2,True,283.33,266.67,11.0,50.0,36.36,1,2.0,1.0,0.0,100.0,0,1
SN50990179,Male,2021,5.7,Disability_Cognitive,0,91,89,1,1,0,0,0,26,46,0,0,17,16,26,28,29,31,20,25,1,4,0,2,1,1,0,2,False,76.92,0.0,52.94,10.71,19.23,0,300.0,2.0,0.0,2.0,1,0
SN95356786,Female,2020,4.9,Disability_Cognitive,1,99,99,1,1,1,0,1,27,45,9,0,9,13,20,20,23,27,22,14,2,2,1,2,1,2,1,1,False,66.67,-100.0,122.22,35.0,35.0,0,0.0,100.0,100.0,0.0,0,0
SN46795801,Female,2016,5.5,Disability_Non-disable,0,120,120,2,2,0,0,0,29,50,0,0,15,19,21,23,29,26,64,33,3,4,1,2,3,2,1,2,True,72.41,0.0,40.0,13.04,23.81,1,33.33,100.0,-33.33,100.0,0,1
SN05271964,Male,2021,5.4,Disability_SocialEmotional,0,117,108,2,2,2,2,1,30,49,0,0,12,15,20,23,27,25,17,48,4,5,2,2,4,4,2,2,True,63.33,0.0,66.67,8.7,25.0,1,25.0,0.0,0.0,0.0,1,4
SN47665032,Female,2016,5.7,Disability_Non-disable,0,114,114,2,2,2,0,1,19,28,0,0,11,12,25,19,25,29,36,24,2,3,1,1,1,2,1,2,False,47.37,0.0,127.27,52.63,16.0,0,50.0,0.0,100.0,100.0,0,1
SN25274148,Male,2020,5.1,Disability_Non-disable,0,94,94,2,2,2,2,0,9,32,5,16,5,16,20,22,26,28,5,18,3,2,1,2,1,4,1,2,False,255.56,220.0,300.0,27.27,40.0,0,-33.33,100.0,300.0,100.0,1,1
SN79504904,Female,2016,5.4,Disability_Non-disable,0,101,101,2,2,1,0,0,8,22,4,10,3,6,13,14,16,15,18,26,2,1,1,1,1,1,0,0,False,175.0,150.0,333.33,7.14,15.38,0,-50.0,0.0,0.0,0.0,0,1
SN36035625,Female,2020,5.0,Disability_Non-disable,0,107,107,1,1,2,2,1,18,29,0,0,9,15,18,19,24,25,17,18,2,4,1,2,1,5,2,2,False,61.11,0.0,100.0,31.58,38.89,0,100.0,100.0,400.0,0.0,0,1
SN97287153,Female,2020,5.7,Disability_Non-disable,0,109,109,3,3,2,1,2,40,70,2,0,26,29,28,31,30,30,28,45,2,4,1,2,2,2,1,2,False,75.0,-100.0,7.69,-3.23,7.14,0,100.0,100.0,0.0,100.0,0,1
SN88225837,Male,2018,4.9,Disability_Sensory,1,103,103,3,1,2,1,2,5,25,9,17,2,11,16,13,14,24,11,19,2,2,1,1,1,0,1,1,True,400.0,88.89,700.0,84.62,50.0,1,0.0,0.0,-100.0,0.0,1,3
SN87239126,Female,2020,5.0,Disability_Non-disable,0,114,114,3,2,2,2,2,48,64,0,0,31,30,31,31,33,31,67,45,4,5,2,2,2,4,1,2,False,33.33,0.0,0.0,0.0,0.0,0,25.0,0.0,100.0,100.0,0,1
SN63551490,Female,2021,5.1,Disability_Non-disable,0,104,98,4,2,2,2,2,27,31,0,3,14,14,26,20,23,25,28,28,2,2,1,2,2,2,2,2,False,14.81,3.0,85.71,25.0,-3.85,0,0.0,100.0,0.0,0.0,0,1
SN28952779,Male,2020,5.3,Disability_Non-disable,0,109,109,3,2,2,0,2,19,29,14,13,6,14,21,24,24,26,23,34,3,3,1,2,1,2,2,2,True,52.63,-7.14,250.0,8.33,23.81,1,0.0,100.0,100.0,0.0,1,1
SN13831598,Male,2016,5.7,Disability_Non-disable,0,102,102,2,2,2,1,1,27,40,0,0,11,18,24,24,24,29,32,30,1,5,1,3,2,2,1,2,False,48.15,0.0,118.18,20.83,20.83,0,400.0,200.0,0.0,100.0,1,1
